RL,YG,GH,TM,IM,WC,FG,PA,ML
0.0186157,0.203078,0.30785,0.0249588,0.339696,0.0804299,17.3052,10.2633,29.0821
0.00244159,0.00332084,0.0682725,0.0371542,4.13095,2.47002,15.1395,1.27644,62.8195
0.00988649,0.00340893,0.228214,0.0371292,0.0242096,0.395282,17.2154,0.513915,257.786
0.0113193,0.0325934,0.135376,0.0166137,4.2084,0.552606,0.887121,41.1186,194.79
0.00184309,0.183066,0.366929,0.0276696,0.0379676,0.678914,16.2753,4.22453,11.3998
0.00317996,0.010482,0.111145,0.0288121,0.394606,0.345444,2.07541,3.98661,6.80657
0.0248015,0.0416156,0.255603,0.0287851,1.31147,0.461558,6.1005,4.46721,97.0241
0.00623203,0.0399118,0.0886549,0.0330105,0.951331,0.57015,16.646,3.52681,326.7
0.0122042,0.0230187,0.00634527,0.117149,1.1779,0.456986,4.09382,16.0307,11.5205
0.00357753,0.187436,0.00420294,0.0298852,2.3201,0.255471,2.17055,37.0792,129.195