RL,YG,GH,TM,IM,WC,FG,PA,ML,DUI
0.0244193,0.104337,0.178163,0.08601,0.313023,0.246543,5.83463,10.3337,9.3568,365.381
0.0101822,0.00954666,0.0785449,0.0880788,3.68736,0.508617,9.4004,2.13561,17.7334,23.7517
0.0162175,0.00965884,0.227439,0.0879518,0.182744,0.523978,9.07565,1.44685,178.417,1374.2
0.0152277,0.0188796,0.122114,0.0713488,3.72412,0.504248,0.372473,4.94118,121.332,33.9443
0.00977668,0.105836,0.291539,0.0792213,0.193551,0.633458,9.21269,3.61479,10.2443,197.038
0.0108044,0.0109575,0.0912015,0.0794,0.277658,0.323907,0.489084,3.61811,9.5033,189.608
0.0306237,0.0270755,0.18511,0.0796936,1.14052,0.62864,1.73324,4.8167,39.1127,17.9223
0.0144086,0.0399588,0.0548059,0.0851488,0.616181,0.481915,9.70258,2.65808,79.8723,111.892
0.022649,0.018665,0.0191681,0.150069,0.919545,0.625936,1.09095,2.86071,7.56213,573.189
0.0112453,0.105295,0.0170522,0.0815139,2.07671,0.358904,0.880535,13.246,41.7005,430.362